,Open,High,Low,Close
2010-04-05,1.34969,1.35389,1.34628,1.34891
2010-04-06,1.34891,1.34978,1.33583,1.3402
2010-04-07,1.34002,1.341,1.333,1.33485
2010-04-08,1.33421,1.3367,1.32857,1.33611
2010-04-09,1.33609,1.35009,1.3344,1.35009
2010-04-12,1.3637,1.36879,1.357,1.3596
2010-04-13,1.3596,1.36219,1.35496,1.36086
2010-04-14,1.36167,1.3678,1.36029,1.3656
2010-04-15,1.36571,1.36679,1.3525,1.3574
2010-04-16,1.3574,1.3575,1.34796,1.3504
2010-04-19,1.34891,1.34933,1.34199,1.34873
2010-04-20,1.34891,1.35219,1.343,1.34351
2010-04-21,1.34356,1.34481,1.3364,1.33899
2010-04-22,1.33885,1.34199,1.32681,1.327
2010-04-23,1.32698,1.34,1.32092,1.3384
2010-04-26,1.3364,1.3414,1.32959,1.34012
2010-04-27,1.34037,1.34133,1.3148,1.31707
2010-04-28,1.3173,1.32659,1.31191,1.32128
2010-04-29,1.3212,1.32767,1.31855,1.3263
2010-04-30,1.32659,1.33421,1.3228,1.3298
2010-05-03,1.3323,1.33269,1.316,1.31999
2010-05-04,1.31999,1.32144,1.29639,1.29639
2010-05-05,1.2968,1.29949,1.27962,1.28149
2010-05-06,1.28159,1.28546,1.25404,1.2633
2010-05-07,1.26285,1.27959,1.25922,1.27561
2010-05-10,1.2879,1.30919,1.27637,1.27792
2010-05-11,1.27792,1.2801,1.26189,1.26299
2010-05-12,1.2635,1.27384,1.26084,1.2639
2010-05-13,1.2636,1.2685,1.25183,1.25411
2010-05-14,1.2539,1.2577,1.2358,1.236
2010-05-17,1.23723,1.24106,1.2246,1.2393
2010-05-18,1.23913,1.24417,1.21678,1.21789
2010-05-19,1.21859,1.2433,1.21459,1.23934
2010-05-20,1.239,1.25979,1.22991,1.24789
2010-05-21,1.24819,1.2672,1.24771,1.25671
2010-05-24,1.2534,1.2545,1.2334,1.23499
2010-05-25,1.23519,1.2386,1.2181,1.2346
2010-05-26,1.2346,1.2358,1.21557,1.2173
2010-05-27,1.21726,1.2395,1.2166,1.2348
2010-05-28,1.23419,1.24473,1.2268,1.2274
2010-05-31,1.22772,1.23349,1.2271,1.22879
2010-06-01,1.2288,1.2339,1.2115,1.2233
2010-06-02,1.22371,1.2273,1.21812,1.2239
2010-06-03,1.22375,1.2325,1.2155,1.21694
2010-06-04,1.21709,1.22167,1.1958,1.1971
2010-06-07,1.19441,1.1989,1.1882,1.19229
2010-06-08,1.19231,1.2009,1.1905,1.1972
2010-06-09,1.1971,1.20731,1.19258,1.1992
2010-06-10,1.1992,1.21415,1.19586,1.2109
2010-06-11,1.21076,1.2152,1.20537,1.2114
2010-06-14,1.21473,1.2298,1.21473,1.22181
2010-06-15,1.22157,1.2351,1.2172,1.23191
2010-06-16,1.23191,1.2349,1.2263,1.23119
2010-06-17,1.23141,1.241,1.22469,1.23821
2010-06-18,1.23828,1.2415,1.2357,1.2393
2010-06-21,1.24089,1.24681,1.2306,1.2316
2010-06-22,1.23169,1.23475,1.22581,1.22751
2010-06-23,1.22751,1.23407,1.22108,1.23191
2010-06-24,1.23191,1.23867,1.2266,1.23375
2010-06-25,1.2335,1.2394,1.2259,1.2373
2010-06-28,1.23801,1.23989,1.2268,1.2277
2010-06-29,1.22733,1.229,1.21544,1.21864
2010-06-30,1.21874,1.23003,1.21678,1.223
2010-07-01,1.2232,1.22426,1.2199,1.25075
2010-07-02,1.25091,1.261,1.24839,1.2571
2010-07-05,1.25552,1.25579,1.25117,1.2537
2010-07-06,1.25411,1.26608,1.24838,1.2624
2010-07-07,1.2617,1.2661,1.25611,1.26331
2010-07-08,1.26341,1.27108,1.2624,1.26941
2010-07-09,1.2692,1.2721,1.2614,1.2644
2010-07-12,1.26461,1.2647,1.2554,1.259
2010-07-13,1.25902,1.27389,1.25254,1.27209
2010-07-14,1.27217,1.27756,1.2686,1.27405
2010-07-15,1.27415,1.29561,1.27125,1.29286
2010-07-16,1.29221,1.30041,1.28941,1.29319
2010-07-19,1.29026,1.29901,1.2875,1.29395
2010-07-20,1.29421,1.30268,1.28441,1.28931
2010-07-21,1.28932,1.29121,1.27359,1.2768
2010-07-22,1.27699,1.29251,1.2739,1.29031
2010-07-23,1.29016,1.29643,1.28,1.29131
2010-07-26,1.28893,1.30049,1.28869,1.2999
2010-07-27,1.2996,1.30458,1.29561,1.29909
2010-07-28,1.2996,1.304,1.29676,1.29922
2010-07-29,1.2998,1.3107,1.2982,1.30781
2010-07-30,1.30765,1.3094,1.29828,1.3039
2010-08-02,1.30601,1.3194,1.30577,1.31759
2010-08-03,1.31751,1.3261,1.31499,1.32251
2010-08-04,1.32259,1.32398,1.3137,1.32251
2010-08-05,1.3161,1.32356,1.31223,1.31581
2010-08-06,1.31799,1.333,1.316,1.31813
2010-08-09,1.3286,1.33042,1.32312,1.32857
2010-08-10,1.3231,1.3231,1.30815,1.323
2010-08-11,1.31857,1.31857,1.28717,1.3185
2010-08-12,1.28414,1.29319,1.27871,1.28441
2010-08-13,1.28286,1.29039,1.27535,1.28299
2010-08-16,1.27699,1.28698,1.27359,1.27709
2010-08-17,1.2813,1.29122,1.28054,1.2812
2010-08-18,1.2877,1.29191,1.2825,1.288
2010-08-19,1.28555,1.29001,1.278,1.28564
2010-08-20,1.2809,1.2833,1.26656,1.2808
2010-08-23,1.27108,1.27286,1.26493,1.271
2010-08-24,1.26401,1.2718,1.25919,1.2635
2010-08-25,1.26346,1.27188,1.2613,1.2633
2010-08-26,1.2661,1.27636,1.2652,1.2664
2010-08-27,1.2706,1.278,1.26826,1.27065
2010-08-30,1.2753,1.27571,1.26733,1.2754
2010-08-31,1.26621,1.27419,1.2628,1.26659
2010-09-01,1.2686,1.285,1.26678,1.26873
2010-09-02,1.28044,1.28488,1.27791,1.2803
2010-09-03,1.28261,1.28849,1.28128,1.28259
2010-09-06,1.28941,1.29164,1.2869,1.28941
2010-09-07,1.2868,1.2868,1.27041,1.28684
2010-09-08,1.26789,1.27619,1.26642,1.2678
2010-09-09,1.2732,1.27637,1.26688,1.2732
2010-09-10,1.26899,1.27444,1.2647,1.26931
2010-09-13,1.27189,1.28879,1.2717,1.2717
2010-09-14,1.28717,1.3018,1.28329,1.2872
2010-09-15,1.29911,1.30359,1.29592,1.29917
2010-09-16,1.3013,1.3113,1.29789,1.30151
2010-09-17,1.30751,1.3157,1.30259,1.3076
2010-09-20,1.30421,1.31192,1.3031,1.30439
2010-09-21,1.30675,1.31489,1.30594,1.30669
2010-09-22,1.3254,1.34371,1.32521,1.3257
2010-09-23,1.33923,1.3412,1.33133,1.3391
2010-09-24,1.33181,1.3492,1.32885,1.33191
2010-09-27,1.3482,1.35037,1.34318,1.34791
2010-09-28,1.344,1.35801,1.3384,1.34391
2010-09-29,1.357,1.36424,1.35678,1.35709
2010-09-30,1.36281,1.36771,1.35652,1.36281
2010-10-01,1.36231,1.37758,1.36208,1.36221
2010-10-04,1.37777,1.37844,1.36694,1.3777
2010-10-05,1.3675,1.38475,1.3639,1.36741
2010-10-06,1.3836,1.39282,1.38043,1.38339
2010-10-07,1.39241,1.40231,1.38997,1.392
2010-10-08,1.39229,1.39751,1.3851,1.3928
2010-10-11,1.39874,1.40062,1.3887,1.39776
2010-10-12,1.3881,1.38819,1.37802,1.38802
2010-10-13,1.39169,1.39993,1.39121,1.39169
2010-10-14,1.3969,1.41189,1.39671,1.39673
2010-10-15,1.407,1.41481,1.39931,1.4072
2010-10-18,1.3971,1.39741,1.3838,1.39643
2010-10-19,1.39379,1.3994,1.37735,1.39359
2010-10-20,1.374,1.39831,1.37045,1.37391
2010-10-21,1.39639,1.40511,1.38791,1.39632
2010-10-22,1.39167,1.3968,1.38669,1.39169
2010-10-25,1.39375,1.4077,1.39361,1.39441
2010-10-26,1.39359,1.39819,1.38397,1.39489
2010-10-27,1.38575,1.38769,1.37601,1.38543
2010-10-28,1.3777,1.39396,1.37751,1.37781
2010-10-29,1.3777,1.39412,1.38089,1.37781
2010-11-01,1.39377,1.40117,1.38662,1.39751
2010-11-02,1.39121,1.40479,1.38837,1.39109
2010-11-03,1.4031,1.40596,1.39936,1.40361
2010-11-04,1.41321,1.4282,1.41052,1.41273
2010-11-05,1.42282,1.423,1.40331,1.4228
2010-11-08,1.4076,1.40811,1.38939,1.40758
2010-11-09,1.38581,1.39719,1.38284,1.38696
2010-11-10,1.37703,1.38209,1.3675,1.3772
2010-11-11,1.3772,1.3819,1.36618,1.37756
2010-11-12,1.36166,1.3772,1.35799,1.3621
2010-11-15,1.36956,1.3747,1.35919,1.36932
2010-11-16,1.35761,1.36532,1.35421,1.35748
2010-11-17,1.34938,1.35531,1.34655,1.34905
2010-11-18,1.35477,1.36679,1.35452,1.3554
2010-11-19,1.36593,1.3731,1.36097,1.36573
2010-11-22,1.37449,1.37864,1.36101,1.37444
2010-11-23,1.36019,1.36136,1.34009,1.36019
2010-11-24,1.33878,1.34189,1.32899,1.33863
2010-11-25,1.33579,1.33751,1.3289,1.33579
2010-11-26,1.33422,1.33506,1.32045,1.33397
2010-11-29,1.32428,1.32975,1.3068,1.3238
2010-11-30,1.31015,1.31503,1.29725,1.31039
2010-12-01,1.29949,1.31346,1.29771,1.29921
2010-12-02,1.31256,1.3212,1.30651,1.31249
2010-12-03,1.3213,1.33767,1.3195,1.3216
2010-12-06,1.34171,1.34198,1.32505,1.3416
2010-12-07,1.32904,1.3398,1.32837,1.32869
2010-12-08,1.32487,1.328,1.3186,1.32447
2010-12-09,1.32454,1.3323,1.3174,1.32508
2010-12-10,1.32406,1.3282,1.31839,1.32421
2010-12-13,1.31987,1.33826,1.31839,1.31971
2010-12-14,1.33941,1.34942,1.3367,1.33955
2010-12-15,1.33601,1.33779,1.32869,1.33609
2010-12-16,1.32263,1.3261,1.31846,1.3224
2010-12-17,1.3241,1.33601,1.3143,1.32399
2010-12-20,1.31638,1.3182,1.30989,1.3165
2010-12-21,1.31192,1.31999,1.31191,1.3118
2010-12-22,1.30917,1.31799,1.30799,1.309
2010-12-23,1.3116,1.3152,1.30581,1.31154
2010-12-24,1.31237,1.31467,1.30996,1.31271
2010-12-27,1.3082,1.31699,1.3082,1.30798
2010-12-28,1.3189,1.32744,1.3142,1.31897
2010-12-29,1.30869,1.31563,1.30869,1.30863
2010-12-30,1.3221,1.3311,1.3221,1.32245
2010-12-31,1.33011,1.34237,1.32899,1.33012
2011-01-03,1.33559,1.33651,1.32529,1.33579
2011-01-04,1.33601,1.34309,1.33182,1.33568
2011-01-05,1.33239,1.33239,1.3129,1.33211
2011-01-06,1.3161,1.31704,1.30337,1.31569
2011-01-07,1.2989,1.30213,1.2939,1.29799
2011-01-10,1.28981,1.29483,1.28771,1.28951
2011-01-11,1.29591,1.2986,1.29101,1.2965
2011-01-12,1.2986,1.30632,1.29666,1.2984
2011-01-13,1.3128,1.33529,1.30919,1.31284
2011-01-14,1.33511,1.3449,1.3326,1.33533
2011-01-17,1.33761,1.33761,1.32529,1.33803
2011-01-18,1.32837,1.34611,1.32559,1.32839
2011-01-19,1.33817,1.35367,1.33817,1.33781
2011-01-20,1.34532,1.35181,1.3403,1.34521
2011-01-21,1.34657,1.3589,1.3451,1.3468
2011-01-24,1.36219,1.36801,1.3547,1.36195
2011-01-25,1.36441,1.3684,1.35759,1.36441
2011-01-26,1.36879,1.37176,1.36502,1.36861
2011-01-27,1.3708,1.37563,1.36429,1.37101
2011-01-28,1.3725,1.3747,1.3616,1.37231
2011-01-31,1.35761,1.3738,1.35729,1.35728
2011-02-01,1.3715,1.37933,1.37048,1.37138
2011-02-02,1.38278,1.386,1.37815,1.38299
2011-02-03,1.38158,1.38246,1.3619,1.38179
2011-02-04,1.3629,1.36476,1.35459,1.36245
2011-02-07,1.35752,1.36264,1.351,1.3575
2011-02-08,1.35942,1.36747,1.3574,1.35919
2011-02-09,1.36232,1.37189,1.36121,1.36269
2011-02-10,1.37189,1.37282,1.35814,1.3721
2011-02-11,1.36054,1.36216,1.35099,1.36019
2011-02-14,1.35152,1.3559,1.34317,1.351
2011-02-15,1.34831,1.3547,1.3462,1.34811
2011-02-16,1.3496,1.3568,1.34655,1.34986
2011-02-17,1.35766,1.36106,1.35389,1.35753
2011-02-18,1.36221,1.36452,1.35479,1.3626
2011-02-21,1.37137,1.37137,1.365,1.37135
2011-02-22,1.36812,1.37005,1.3528,1.36823
2011-02-23,1.36741,1.3784,1.36741,1.36737
2011-02-24,1.37578,1.38169,1.3708,1.37641
2011-02-25,1.38221,1.3838,1.37248,1.382
2011-02-28,1.37361,1.38533,1.37131,1.37344
2011-03-01,1.38274,1.38529,1.37883,1.38215
2011-03-02,1.37696,1.389,1.37446,1.37718
2011-03-03,1.38675,1.39751,1.38345,1.38665
2011-03-04,1.39591,1.4007,1.3947,1.39589
2011-03-07,1.39888,1.40361,1.39589,1.39907
2011-03-08,1.39649,1.39899,1.38681,1.39639
2011-03-09,1.38945,1.39408,1.38591,1.3898
2011-03-10,1.39047,1.39251,1.3795,1.39022
2011-03-11,1.3803,1.38424,1.37542,1.38013
2011-03-14,1.39348,1.39794,1.39067,1.39346
2011-03-15,1.39903,1.40001,1.38581,1.39921
2011-03-16,1.39856,1.40007,1.3915,1.39862
2011-03-17,1.38841,1.40469,1.38841,1.38848
2011-03-18,1.40351,1.41455,1.39833,1.40329
2011-03-21,1.41679,1.42019,1.41459,1.41705
2011-03-22,1.42185,1.42481,1.41808,1.42171
2011-03-23,1.41725,1.4214,1.41109,1.41681
2011-03-24,1.41086,1.42102,1.4056,1.4106
2011-03-25,1.41697,1.41937,1.41137,1.41719
2011-03-28,1.4025,1.41143,1.40241,1.4026
2011-03-29,1.40772,1.41501,1.40511,1.40797
2011-03-30,1.41129,1.41291,1.4054,1.41111
2011-03-31,1.41219,1.42331,1.41189,1.41213
2011-04-01,1.41601,1.4215,1.40647,1.41587
2011-04-04,1.42239,1.42686,1.41949,1.42233
2011-04-05,1.42193,1.42328,1.41561,1.42201
2011-04-06,1.42201,1.4347,1.42201,1.42191
2011-04-07,1.43361,1.43361,1.42481,1.43353
2011-04-08,1.4301,1.44431,1.42931,1.43021
2011-04-11,1.44609,1.44833,1.44217,1.44622
2011-04-12,1.44344,1.45169,1.43804,1.44379
2011-04-13,1.44749,1.45193,1.44578,1.44764
2011-04-14,1.44461,1.45151,1.43684,1.44421
2011-04-15,1.4486,1.45049,1.43943,1.44321
2011-04-18,1.44169,1.442,1.41659,1.4413
2011-04-19,1.42227,1.43281,1.42076,1.42239
2011-04-20,1.4339,1.45395,1.43361,1.43379
2011-04-21,1.4514,1.46479,1.45087,1.4514
2011-04-22,1.45531,1.4589,1.4537,1.4555
2011-04-25,1.45552,1.46257,1.45304,1.45571
2011-04-26,1.45779,1.4649,1.44997,1.4579
2011-04-27,1.46899,1.471,1.46381,1.4688
2011-04-28,1.478,1.48821,1.47785,1.478
2011-04-29,1.4843,1.4879,1.48049,1.48441
2011-05-02,1.48056,1.49025,1.47713,1.4794
2011-05-03,1.48249,1.48874,1.4758,1.48238
2011-05-04,1.4835,1.49381,1.47789,1.48333
2011-05-05,1.4824,1.48974,1.45813,1.48298
2011-05-06,1.45402,1.4587,1.4467,1.45444
2011-05-09,1.4346,1.44404,1.4258,1.4353
2011-05-10,1.43755,1.43941,1.42749,1.43761
2011-05-11,1.44111,1.44223,1.42657,1.44111
2011-05-12,1.42128,1.42558,1.41261,1.4211
2011-05-13,1.42361,1.434,1.41421,1.42379
2011-05-16,1.40756,1.4246,1.40509,1.4078
2011-05-17,1.41581,1.42229,1.41255,1.41581
2011-05-18,1.4269,1.42865,1.41963,1.4269
2011-05-19,1.42562,1.43059,1.4211,1.42552
2011-05-20,1.4318,1.43439,1.41451,1.43162
2011-05-23,1.41088,1.41347,1.3976,1.41058
2011-05-24,1.40371,1.41331,1.40042,1.40367
2011-05-25,1.40992,1.41167,1.4018,1.4099
2011-05-26,1.40823,1.42049,1.40702,1.40849
2011-05-27,1.41311,1.43031,1.41283,1.41351
2011-05-30,1.42949,1.43055,1.42598,1.42974
2011-05-31,1.43242,1.44229,1.43242,1.43223
2011-06-01,1.44275,1.44578,1.43881,1.44279
2011-06-02,1.4346,1.44839,1.43299,1.43449
2011-06-03,1.44871,1.46049,1.44599,1.4486
2011-06-06,1.46561,1.46572,1.45953,1.4655
2011-06-07,1.45815,1.46918,1.45671,1.4583
2011-06-08,1.4688,1.46901,1.45724,1.4686
2011-06-09,1.4599,1.46456,1.4482,1.4602
2011-06-10,1.45123,1.4548,1.43571,1.45157
2011-06-13,1.43336,1.44034,1.4326,1.43326
2011-06-14,1.44175,1.4486,1.4381,1.44169
2011-06-15,1.4449,1.44496,1.42096,1.445
2011-06-16,1.41864,1.42003,1.4078,1.4182
2011-06-17,1.41999,1.43384,1.41295,1.41991
2011-06-20,1.42941,1.4325,1.41943,1.42851
2011-06-21,1.43248,1.4404,1.43102,1.43254
2011-06-22,1.43802,1.44379,1.43491,1.43817
2011-06-23,1.4318,1.4334,1.41313,1.43143
2011-06-24,1.42731,1.43059,1.41611,1.427
2011-06-27,1.4176,1.42941,1.4108,1.41713
2011-06-28,1.4317,1.43959,1.42442,1.43168
2011-06-29,1.43581,1.44479,1.4334,1.43579
2011-06-30,1.4481,1.45271,1.4449,1.44789
2011-07-01,1.44959,1.45461,1.44461,1.4497
2011-07-04,1.45461,1.4577,1.4498,1.454
2011-07-05,1.45531,1.45531,1.44456,1.45531
2011-07-06,1.4424,1.44665,1.429,1.44281
2011-07-07,1.4332,1.4374,1.42233,1.43316
2011-07-08,1.43662,1.43688,1.4214,1.43645
2011-07-11,1.42049,1.42258,1.39889,1.42019
2011-07-12,1.40414,1.40469,1.3842,1.40406
2011-07-13,1.3969,1.4192,1.39673,1.3969
2011-07-14,1.42292,1.42741,1.41509,1.42343
2011-07-15,1.41581,1.41961,1.40964,1.41573
2011-07-18,1.41193,1.41321,1.4018,1.41231
2011-07-19,1.41109,1.42146,1.4073,1.41119
2011-07-20,1.41739,1.42379,1.41349,1.41729
2011-07-21,1.4269,1.43978,1.41451,1.427
2011-07-22,1.44179,1.44352,1.43271,1.442
2011-07-25,1.43817,1.44071,1.43287,1.43885
2011-07-26,1.43678,1.4521,1.43606,1.43715
2011-07-27,1.45041,1.45351,1.43631,1.45081
2011-07-28,1.43755,1.44003,1.4258,1.4373
2011-07-29,1.4334,1.44063,1.42385,1.4332
2011-08-01,1.43653,1.44513,1.41882,1.43637
2011-08-02,1.42712,1.42835,1.41529,1.42621
2011-08-03,1.4176,1.43439,1.41449,1.41733
2011-08-04,1.43453,1.43641,1.41151,1.4353
2011-08-05,1.40665,1.42254,1.4058,1.40671
2011-08-08,1.43006,1.43995,1.41333,1.42941
2011-08-09,1.41772,1.42857,1.41571,1.41707
2011-08-10,1.438,1.44005,1.41633,1.43831
2011-08-11,1.41287,1.42859,1.41066,1.41247
2011-08-12,1.42219,1.4288,1.41509,1.42264
2011-08-15,1.42729,1.44749,1.42674,1.42741
2011-08-16,1.44383,1.44448,1.43579,1.44383
2011-08-17,1.4402,1.45138,1.4339,1.4398
2011-08-18,1.44294,1.44511,1.4279,1.44292
2011-08-19,1.43207,1.44517,1.42659,1.43244
2011-08-22,1.43695,1.4434,1.43501,1.43693
2011-08-23,1.4361,1.4498,1.43559,1.4361
2011-08-24,1.44371,1.44808,1.43895,1.44371
2011-08-25,1.44111,1.4473,1.43336,1.44123
2011-08-26,1.4374,1.44749,1.43322,1.4373
2011-08-29,1.44967,1.45469,1.4467,1.44951
2011-08-30,1.4526,1.45323,1.43887,1.45243
2011-08-31,1.44346,1.4468,1.4398,1.44331
2011-09-01,1.4375,1.43779,1.42296,1.43746
2011-09-02,1.42621,1.4288,1.41931,1.42621
2011-09-05,1.41557,1.41719,1.40659,1.41577
2011-09-06,1.40691,1.42369,1.39753,1.40631
2011-09-07,1.40038,1.41307,1.40021,1.40032
2011-09-08,1.40839,1.40901,1.39435,1.40857
2011-09-09,1.3904,1.39381,1.36491,1.39041
2011-09-12,1.3596,1.3687,1.3515,1.36008
2011-09-13,1.3658,1.3721,1.35591,1.36603
2011-09-14,1.3681,1.37485,1.35931,1.36861
2011-09-15,1.37484,1.39276,1.37041,1.37461
2011-09-16,1.38673,1.3881,1.37589,1.3869
2011-09-19,1.37035,1.37069,1.35914,1.37014
2011-09-20,1.36041,1.37266,1.35995,1.36056
2011-09-21,1.36909,1.3731,1.36375,1.36939
2011-09-22,1.35847,1.35857,1.33921,1.3586
2011-09-23,1.34791,1.35659,1.3421,1.34809
2011-09-26,1.3545,1.3545,1.3367,1.3547
2011-09-27,1.35201,1.3655,1.34807,1.35181
2011-09-28,1.35849,1.3684,1.35459,1.35823
2011-09-29,1.35455,1.36771,1.3521,1.35377
2011-09-30,1.3582,1.3599,1.34153,1.35858
2011-10-03,1.33609,1.33808,1.3245,1.33609
2011-10-04,1.31942,1.32989,1.31494,1.3195
2011-10-05,1.33275,1.33724,1.32661,1.33301
2011-10-06,1.33404,1.34329,1.32429,1.33399
2011-10-07,1.3427,1.35217,1.34039,1.34289
2011-10-10,1.3386,1.369,1.3381,1.3386
2011-10-11,1.36331,1.36741,1.357,1.36355
2011-10-12,1.36441,1.3816,1.35864,1.36457
2011-10-13,1.37887,1.3823,1.36861,1.3792
2011-10-14,1.37431,1.38929,1.37248,1.37355
2011-10-17,1.38825,1.3913,1.3741,1.38791
2011-10-18,1.37434,1.37868,1.36545,1.3744
2011-10-19,1.3734,1.38669,1.37265,1.374
2011-10-20,1.37641,1.38401,1.36593,1.3765
2011-10-21,1.378,1.3898,1.37101,1.3779
2011-10-24,1.38479,1.3954,1.3823,1.38477
2011-10-25,1.39241,1.39563,1.385,1.39223
2011-10-26,1.3904,1.39669,1.38049,1.39045
2011-10-27,1.38721,1.4183,1.38681,1.38769
2011-10-28,1.41749,1.42009,1.41393,1.41739
2011-10-31,1.41421,1.41695,1.39359,1.41401
2011-11-01,1.38646,1.38698,1.36119,1.386
2011-11-02,1.3658,1.38259,1.3658,1.3656
2011-11-03,1.36932,1.38253,1.36578,1.369
2011-11-04,1.38228,1.3865,1.37176,1.38299
2011-11-07,1.37952,1.3812,1.36836,1.37893
2011-11-08,1.37601,1.38426,1.37319,1.37601
2011-11-09,1.38271,1.38569,1.3556,1.38265
2011-11-10,1.35274,1.36496,1.3486,1.35267
2011-11-11,1.36119,1.37419,1.3582,1.36101
2011-11-14,1.3788,1.3788,1.3621,1.3787
2011-11-15,1.36269,1.36411,1.35128,1.36242
2011-11-16,1.35088,1.35533,1.34308,1.35071
2011-11-17,1.3443,1.35349,1.34253,1.3441
2011-11-18,1.3455,1.3613,1.34485,1.3458
2011-11-21,1.3536,1.354,1.34329,1.353
2011-11-22,1.34864,1.35687,1.34713,1.34844
2011-11-23,1.35144,1.35311,1.33526,1.35219
2011-11-24,1.3347,1.3412,1.33202,1.3352
2011-11-25,1.3328,1.3334,1.32184,1.3331
2011-11-28,1.33103,1.33969,1.32783,1.33135
2011-11-29,1.33076,1.34374,1.3289,1.3317
2011-11-30,1.33239,1.35239,1.32644,1.33241
2011-12-01,1.34423,1.3521,1.34199,1.34439
2011-12-02,1.34675,1.3538,1.34198,1.34669
2011-12-05,1.34174,1.3484,1.34014,1.3419
2011-12-06,1.33847,1.3425,1.33403,1.33867
2011-12-07,1.3412,1.34526,1.33536,1.3412
2011-12-08,1.34011,1.3457,1.3311,1.34037
2011-12-09,1.33454,1.343,1.3286,1.33454
2011-12-12,1.3371,1.33779,1.32111,1.33717
2011-12-13,1.31657,1.32317,1.31,1.31711
2011-12-14,1.3028,1.30591,1.2954,1.30191
2011-12-15,1.29874,1.3049,1.29629,1.2988
2011-12-16,1.303,1.3084,1.30069,1.30297
2011-12-19,1.30359,1.3041,1.2985,1.3037
2011-12-20,1.3008,1.3132,1.2997,1.30078
2011-12-21,1.3088,1.31942,1.30285,1.3088
2011-12-22,1.3038,1.31191,1.30235,1.304
2011-12-23,1.3057,1.3094,1.30331,1.3056
2011-12-26,1.30439,1.3084,1.30439,1.3045
2011-12-27,1.30501,1.30859,1.3045,1.30506
2011-12-28,1.3071,1.30796,1.29473,1.30721
2011-12-29,1.29257,1.2944,1.28612,1.29272
